北海道,"理系,文系,理系（後期）,文系（後期）"
小樽商科,商
旭川医科,医
弘前,"理系,文系"
岩手,"理系,文系"
東北,"理系,文系,理（後期）,経済（後期）"
宮城教育,"中等教育（数学）,中等教育（理科・技術・家庭科）,初等教育・特別支援教育"
秋田,"理工,医,教育文化"
福島,"理工,人文社会,理工（後期）"
山形,"理系,文系"
筑波,理系
筑波技術,産業技術
群馬,"理系,医,人文社会"
千葉,"理系,文系"
東京,"理科,文科"
東京医科歯科,"医,歯"
東京海洋,"海洋生命科学,海洋資源環境,海洋工"
東京農工,理系
東京工業,理系
お茶の水女子,"理系,理（後期）"
一橋,"文系,経済（後期）"
横浜国立,"理系,経済,理系（後期）,文系"
新潟,"理系,文系"
富山,"理系,文系"
金沢,"理系,人間社会"
信州,"理系,教育,理系（後期）,経法（後期）"
岐阜,理系
静岡,"理（数学）,理系"
浜松医科,医
名古屋,"理系,文系"
愛知教育,教育
名古屋工業,"理系,理系（後期）"
豊橋技術,工
三重,"理系,文系"
滋賀医科,医
京都,"理系,文系"
京都工芸繊維,理系
大阪,"理系,文系"
神戸,"理系,文系,理系（後期）"
奈良女子,理系
鳥取,理系
島根,理系
岡山,"理系,文系"
徳島,"理工,医・歯・薬"
香川,"理系,文系"
高知,"理系,教育"
福岡教育,"中等（数学）,"
九州,"理系,文系,工（後期）"
九州工業,工
佐賀,"理工・医,教育・農,理工・農（後期）"
熊本,"理系,医,教育"
鹿児島,理系
琉球,理系
公立はこだて未来,理系
札幌医科,医
岩手県立,理系
秋田県立,理系
首都大学東京,"文系,理系,理系（後期）"
横浜市立,理系
富山県立,理系
岐阜薬科,薬（中）
愛知県立,理系
名古屋市立,"理系,薬（中期）"
大阪市立,"理系,文系,理系（後期）"
大阪府立,"理系,工（中期）"
奈良県立医科,"医,医（後期）"
岡山県立,理系
広島市立,理系
高知工科,理系
九州歯科,歯
防衛医科,医
防衛,"理系,文系"
室蘭工業,工
北見工業,工（後期）
茨城,"理系,教育"
埼玉,"理系,教育,理系（後期）"
東京学芸,教育
電気通信,"理系,理系（後期）"
長岡技術科学,工
福井,"工,医,教育"
山梨,"理系,教育,医"
滋賀,"理系,文系"
大阪教育,"教育,教育（後期）"
奈良教育,教育
和歌山,"理系,文系"
広島,"理系,文系,理（後期）"
山口,"理系,農・文系"
愛媛,理系
長崎,理系
大分,"理系,文系,医"
宮崎,理系
釧路公立,経済
宮城,文系
会津,理系
高崎経済,文系
静岡文化芸術,デザイン
滋賀県立,理系
京都府立,生命環境
京都府立医科,医
兵庫県立,"工,文系,理（中）,文系（後期）"
和歌山県立医科,医
県立広島,"経営情報,生命環境"
福岡女子,国際文理
宇都宮,"理系,教育"
