北海道,北海道,"理系,文系,理系（後期）,文系（後期）"
小樽商科,北海道,商
旭川医科,北海道,医
弘前,青森県,"理系,文系"
岩手,岩手県,"理系,文系"
東北,宮城県,"理系,文系,理（後期）,経済（後期）"
宮城教育,宮城県,"中等教育（数学）,中等教育（理科・技術・家庭科）,初等教育・特別支援教育"
秋田,秋田県,"理工,医,教育文化"
福島,福島県,"理工,人文社会,理工（後期）"
山形,山形県,"理系,文系"
筑波,茨城県,理系
筑波技術,茨城県,産業技術
群馬,群馬県,"理系,医,人文社会"
千葉,千葉県,"理系,文系"
東京,東京都,"理科,文科"
東京医科歯科,東京都,"医,歯"
東京海洋,東京都,"海洋生命科学,海洋資源環境,海洋工"
東京農工,東京都,理系
東京工業,東京都,理系
お茶の水女子,東京都,"理系,理（後期）"
一橋,東京都,"文系,経済（後期）"
横浜国立,神奈川県,"理系,経済,理系（後期）,文系"
新潟,新潟県,"理系,文系"
富山,富山県,"理系,文系"
金沢,石川県,"理系,人間社会"
信州,長野県,"理系,教育,理系（後期）,経法（後期）"
岐阜,岐阜県,理系
静岡,静岡県,"理（数学）,理系"
浜松医科,静岡県,医
名古屋,愛知県,"理系,文系"
愛知教育,愛知県,教育
名古屋工業,愛知県,"理系,理系（後期）"
豊橋技術,愛知県,工
三重,三重県,"理系,文系"
滋賀医科,滋賀県,医
京都,京都府,"理系,文系"
京都工芸繊維,京都府,理系
大阪,大阪府,"理系,文系"
神戸,兵庫県,"理系,文系,理系（後期）"
奈良女子,奈良県,理系
鳥取,鳥取県,理系
島根,島根県,理系
岡山,岡山県,"理系,文系"
徳島,徳島県,"理工,医・歯・薬"
香川,香川県,"理系,文系"
高知,高知県,"理系,教育"
福岡教育,福岡県,"中等（数学）,"
九州,福岡県,"理系,文系,工（後期）"
九州工業,福岡県,工
佐賀,佐賀県,"理工・医,教育・農,理工・農（後期）"
熊本,熊本県,"理系,医,教育"
鹿児島,鹿児島県,理系
琉球,沖縄県,理系
公立はこだて未来,北海道,理系
札幌医科,北海道,医
岩手県立,岩手県,理系
秋田県立,秋田県,理系
首都大学東京,東京都,"文系,理系,理系（後期）"
横浜市立,神奈川県,理系
富山県立,富山県,理系
岐阜薬科,岐阜県,薬（中）
愛知県立,愛知県,理系
名古屋市立,愛知県,"理系,薬（中期）"
大阪市立,大阪府,"理系,文系,理系（後期）"
大阪府立,大阪府,"理系,工（中期）"
奈良県立医科,奈良県,"医,医（後期）"
岡山県立,岡山県,理系
広島市立,広島県,理系
高知工科,高知県,理系
九州歯科,福岡県,歯
防衛医科,埼玉県,医
防衛,神奈川県,"理系,文系"
室蘭工業,北海道,工
北見工業,北海道,工（後期）
茨城,茨城県,"理系,教育"
埼玉,埼玉県,"理系,教育,理系（後期）"
東京学芸,東京,教育
電気通信,東京,"理系,理系（後期）"
長岡技術科学,新潟県,工
福井,福井県,"工,医,教育"
山梨,山梨県,"理系,教育,医"
滋賀,滋賀県,"理系,文系"
大阪教育,大阪府,"教育,教育（後期）"
奈良教育,奈良県,教育
和歌山,和歌山県,"理系,文系"
広島,広島県,"理系,文系,理（後期）"
山口,山口県,"理系,農・文系"
愛媛,愛媛県,理系
長崎,長崎県,理系
大分,大分県,"理系,文系,医"
宮崎,宮崎県,理系
釧路公立,北海道,経済
宮城,宮城県,文系
会津,青森県,理系
高崎経済,群馬県,文系
静岡文化芸術,静岡県,デザイン
滋賀県立,滋賀県,理系
京都府立,京都府,生命環境
京都府立医科,京都府,医
兵庫県立,兵庫県,"工,文系,理（中）,文系（後期）"
和歌山県立医科,和歌山県,医
県立広島,広島県,"経営情報,生命環境"
福岡女子,福岡県,国際文理
宇都宮,栃木,"理系,教育"
